layer_name,layer_type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
Conv_0,Conv,64,3,224,224,7,7,2,2,3,3,3,3
MaxPool_2,MaxPool,64,64,112,112,3,3,2,2,1,1,1,1
Conv_3,Conv,64,64,56,56,1,1,1,1,0,0,0,0
Conv_5,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Conv_7,Conv,256,64,56,56,1,1,1,1,0,0,0,0
Conv_8,Conv,256,64,56,56,1,1,1,1,0,0,0,0
Add_9,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_11,Conv,64,256,56,56,1,1,1,1,0,0,0,0
Conv_13,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Conv_15,Conv,256,64,56,56,1,1,1,1,0,0,0,0
Add_16,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_18,Conv,64,256,56,56,1,1,1,1,0,0,0,0
Conv_20,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Conv_22,Conv,256,64,56,56,1,1,1,1,0,0,0,0
Add_23,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_25,Conv,128,256,56,56,1,1,1,1,0,0,0,0
Conv_27,Conv,128,128,56,56,3,3,2,2,1,1,1,1
Conv_29,Conv,512,128,28,28,1,1,1,1,0,0,0,0
Conv_30,Conv,512,256,56,56,1,1,2,2,0,0,0,0
Add_31,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_33,Conv,128,512,28,28,1,1,1,1,0,0,0,0
Conv_35,Conv,128,128,28,28,3,3,1,1,1,1,1,1
Conv_37,Conv,512,128,28,28,1,1,1,1,0,0,0,0
Add_38,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_40,Conv,128,512,28,28,1,1,1,1,0,0,0,0
Conv_42,Conv,128,128,28,28,3,3,1,1,1,1,1,1
Conv_44,Conv,512,128,28,28,1,1,1,1,0,0,0,0
Add_45,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_47,Conv,128,512,28,28,1,1,1,1,0,0,0,0
Conv_49,Conv,128,128,28,28,3,3,1,1,1,1,1,1
Conv_51,Conv,512,128,28,28,1,1,1,1,0,0,0,0
Add_52,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_54,Conv,256,512,28,28,1,1,1,1,0,0,0,0
Conv_56,Conv,256,256,28,28,3,3,2,2,1,1,1,1
Conv_58,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
Conv_59,Conv,1024,512,28,28,1,1,2,2,0,0,0,0
Add_60,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_62,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
Conv_64,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Conv_66,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
Add_67,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_69,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
Conv_71,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Conv_73,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
Add_74,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_76,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
Conv_78,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Conv_80,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
Add_81,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_83,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
Conv_85,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Conv_87,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
Add_88,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_90,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
Conv_92,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Conv_94,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
Add_95,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_97,Conv,512,1024,14,14,1,1,1,1,0,0,0,0
Conv_99,Conv,512,512,14,14,3,3,2,2,1,1,1,1
Conv_101,Conv,2048,512,7,7,1,1,1,1,0,0,0,0
Conv_102,Conv,2048,1024,14,14,1,1,2,2,0,0,0,0
Add_103,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_105,Conv,512,2048,7,7,1,1,1,1,0,0,0,0
Conv_107,Conv,512,512,7,7,3,3,1,1,1,1,1,1
Conv_109,Conv,2048,512,7,7,1,1,1,1,0,0,0,0
Add_110,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_112,Conv,512,2048,7,7,1,1,1,1,0,0,0,0
Conv_114,Conv,512,512,7,7,3,3,1,1,1,1,1,1
Conv_116,Conv,2048,512,7,7,1,1,1,1,0,0,0,0
Add_117,Add,0,0,0,0,0,0,0,0,0,0,0,0
GlobalAveragePool_119,AveragePool,2048,2048,7,7,7,7,1,1,0,0,0,0
Gemm_121,Fc,1024,2048,1,1,1,1,1,1,0,0,0,0
