layer_name,layer_type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
Conv_0,Conv,64,3,224,224,7,7,2,2,3,3,3,3
MaxPool_2,MaxPool,64,64,112,112,3,3,2,2,1,1,1,1
Conv_3,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Conv_5,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Add_6,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_8,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Conv_10,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Add_11,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_13,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Conv_15,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Add_16,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_18,Conv,128,64,56,56,3,3,2,2,1,1,1,1
Conv_20,Conv,128,128,28,28,3,3,1,1,1,1,1,1
Conv_21,Conv,128,64,56,56,1,1,2,2,0,0,0,0
Add_22,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_24,Conv,128,128,28,28,3,3,1,1,1,1,1,1
Conv_26,Conv,128,128,28,28,3,3,1,1,1,1,1,1
Add_27,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_29,Conv,128,128,28,28,3,3,1,1,1,1,1,1
Conv_31,Conv,128,128,28,28,3,3,1,1,1,1,1,1
Add_32,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_34,Conv,128,128,28,28,3,3,1,1,1,1,1,1
Conv_36,Conv,128,128,28,28,3,3,1,1,1,1,1,1
Add_37,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_39,Conv,256,128,28,28,3,3,2,2,1,1,1,1
Conv_41,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Conv_42,Conv,256,128,28,28,1,1,2,2,0,0,0,0
Add_43,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_45,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Conv_47,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Add_48,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_50,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Conv_52,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Add_53,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_55,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Conv_57,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Add_58,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_60,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Conv_62,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Add_63,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_65,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Conv_67,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Add_68,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_70,Conv,512,256,14,14,3,3,2,2,1,1,1,1
Conv_72,Conv,512,512,7,7,3,3,1,1,1,1,1,1
Conv_73,Conv,512,256,14,14,1,1,2,2,0,0,0,0
Add_74,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_76,Conv,512,512,7,7,3,3,1,1,1,1,1,1
Conv_78,Conv,512,512,7,7,3,3,1,1,1,1,1,1
Add_79,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_81,Conv,512,512,7,7,3,3,1,1,1,1,1,1
Conv_83,Conv,512,512,7,7,3,3,1,1,1,1,1,1
Add_84,Add,0,0,0,0,0,0,0,0,0,0,0,0
GlobalAveragePool_86,AveragePool,512,512,7,7,7,7,1,1,0,0,0,0
Gemm_88,Fc,1024,512,1,1,1,1,1,1,0,0,0,0
